epoch,train_loss,val_loss,val_acc,activation,init,act_mean,act_std,frac_zero,grad_norm
1,1.6732431938171386,1.3616726484298707,0.5166,relu,he,0.10309037607577112,0.212009287542767,0.6565127637651231,1.1824259880930186
2,1.1940098526000977,1.0363080792427064,0.6343,relu,he,0.10197998210787773,0.21650213334295484,0.6683312786950005,0.6046373348683118
3,0.9711351972579956,0.9099341397285461,0.6751,relu,he,0.09282092046406534,0.20439385871092478,0.6836824152204726,0.5036647835746407
4,0.8186754625320435,0.822455923652649,0.7099,relu,he,0.09533842073546515,0.21738968624009025,0.6895877520243326,0.6715574719011783
5,0.7072724755287171,0.7478165083885193,0.7402,relu,he,0.09808918833732605,0.2312029856774542,0.6972930166456435,0.7535522129386664
6,0.6203022968292237,0.7323746494293213,0.7408,relu,he,0.094057970162895,0.2288635555240843,0.7068012025621202,0.4991714708507061
7,0.5532593004226685,0.6841830029010773,0.7647,relu,he,0.10208420869376925,0.2529177616039912,0.7081625726487901,0.5798444217070937
8,0.4970145175933838,0.6649623142719269,0.7703,relu,he,0.09273709894882308,0.23572658085160786,0.7205760214063857,0.5946764964610338
9,0.43866833963394164,0.6591029155015945,0.7799,relu,he,0.10783375882440144,0.28281530406739974,0.7183416154649522,0.63544462043792
10,0.3912068836212158,0.6628088319778442,0.7813,relu,he,0.10516810168822606,0.2825447552733951,0.7278142770131429,0.6153388082981109
11,0.35171903352737427,0.727404288816452,0.7752,relu,he,0.11046999734308985,0.2993113249540329,0.7278449005550809,0.7941133301705122
12,0.330339884185791,0.670735378742218,0.7804,relu,he,0.10190089088347223,0.2827887038389842,0.7381879223717583,0.5282597918063402
1,2.182967025756836,1.6798351650238037,0.4009,tanh,xavier,-0.02637451845738623,0.6340795606374741,0.0,1.1980091664940118
2,1.7232055961608888,1.510231671142578,0.4631,tanh,xavier,-0.03417182920707597,0.6198671592606438,0.0,1.8023611295968294
3,1.4045455123901367,1.205364058494568,0.5776,tanh,xavier,-0.03811869167515801,0.6158623132440779,0.0,0.684932397864759
4,1.1909357244491576,1.0655366359710694,0.6284,tanh,xavier,-0.055237748918847904,0.623817053106096,0.0,0.7232178382575511
5,1.0459160997390746,0.9606758751869202,0.665,tanh,xavier,-0.06259340177186662,0.6258764598104689,0.0,0.871091927587986
6,0.9494805105209351,0.933939266204834,0.6732,tanh,xavier,-0.06996470493161017,0.6353798988792632,0.0,0.9560539113357663
7,0.8632733503341675,0.896797394990921,0.6925,tanh,xavier,-0.07901097435711159,0.6389720936616262,0.0,0.6705301309004426
8,0.7998587107658386,0.8620079000473022,0.7024,tanh,xavier,-0.07987442591951953,0.6461764342255063,0.0,0.5551275126636028
9,0.7624474040985108,0.8002468580245972,0.7262,tanh,xavier,-0.08575391176984543,0.651646246512731,0.0,0.7478485926054418
10,0.7009132750511169,0.7844292386054993,0.731,tanh,xavier,-0.08981706978132327,0.6538795630137125,0.0,0.5691934125497937
11,0.6561660265922546,0.7659459519386291,0.7327,tanh,xavier,-0.10170059599396256,0.6580138173368242,0.0,0.6127699326723814
12,0.6223650879859924,0.7503526455879211,0.7454,tanh,xavier,-0.09779079160135654,0.6627696173058616,0.0,0.49168451558798554
13,0.5957511381149292,0.7986300367355347,0.7327,tanh,xavier,-0.10342388889855808,0.6643820454676946,0.0,0.65644212923944
14,0.5749661373138428,0.7849882781028747,0.7398,tanh,xavier,-0.10665988458398108,0.6691001604000727,0.0,0.6468863487243652
15,0.5499441569328308,0.7423767462730407,0.7487,tanh,xavier,-0.10443525104266074,0.6725056270758311,0.0,0.5068679485470057
16,0.5195732607841491,0.7648506325721741,0.7572,tanh,xavier,-0.10601851483806968,0.6737742672363917,0.0,0.5806206095963716
17,0.5027001206398011,0.8295122184753418,0.7351,tanh,xavier,-0.11148932032908003,0.6761525372664133,0.0,0.6268451061099768
18,0.4905196657180786,0.7950456305503846,0.7423,tanh,xavier,-0.11539630519433154,0.6778831448819902,0.0,0.6590006390586496
