epoch,train_loss,val_loss,val_acc,act,init,bound,act_mean,act_std,frac_zero,grad_norm
1,5.73531E+15,8.85074E+14,16.47,relu,naive_uniform,5,3.86953E+11,7.52661E+11,0.5872,1.25996E+14
2,1.03491E+15,3.694E+14,16.45,relu,naive_uniform,5,1.4083E+11,2.93228E+11,0.6295,6.48093E+13
3,4.98382E+14,2.1013E+14,16.46,relu,naive_uniform,5,76667072007,1.67125E+11,0.6535,4.07028E+13
4,3.02213E+14,1.36053E+14,17.73,relu,naive_uniform,5,48199975029,1.08559E+11,0.6698,2.27003E+13
5,2.03244E+14,9.68308E+13,17.61,relu,naive_uniform,5,33184607760,77246620206,0.6833,1.65648E+13
6,1.4802E+14,7.29875E+13,17.83,relu,naive_uniform,5,23815448570,57227679916,0.6927,1.29303E+13
7,1.09086E+14,5.63085E+13,17.99,relu,naive_uniform,5,17417963211,43208109250,0.7018,7.55864E+12
8,8.31787E+13,4.36416E+13,18.16,relu,naive_uniform,5,12937427649,33466062634,0.7093,8.25876E+12
9,6.34974E+13,3.37684E+13,17.89,relu,naive_uniform,5,9382665939,25713119539,0.7167,7.03596E+12
10,4.89028E+13,2.59725E+13,17.45,relu,naive_uniform,5,6588652675,19484022995,0.7226,5.01813E+12
11,3.69524E+13,1.97244E+13,16.95,relu,naive_uniform,5,4469140388,14400552460,0.7278,5.15728E+12
12,2.77575E+13,1.48437E+13,16.4,relu,naive_uniform,5,2975606466,10647983696,0.7329,3.24383E+12
13,2.00982E+13,1.07795E+13,15.19,relu,naive_uniform,5,1956154007,7822281650,0.7375,1.99205E+12
14,1.47815E+13,8.10057E+12,15.25,relu,naive_uniform,5,1288662247,5683091443,0.7401,1.62576E+12
15,1.10049E+13,6.13015E+12,15.32,relu,naive_uniform,5,877048664.2,4263429699,0.7435,1.16902E+12
16,8.40834E+12,4.80899E+12,15.53,relu,naive_uniform,5,618111517.9,3300570948,0.7472,7.9707E+11
17,6.51363E+12,3.77083E+12,15.75,relu,naive_uniform,5,442867375.4,2586144781,0.7506,6.68304E+11
18,5.15878E+12,2.96718E+12,15.45,relu,naive_uniform,5,323075955.2,2055722254,0.7538,5.0424E+11
19,4.02665E+12,2.32993E+12,15.63,relu,naive_uniform,5,238343851.3,1636883749,0.7562,6.10883E+11
20,3.18728E+12,1.83762E+12,15.17,relu,naive_uniform,5,178920033.3,1318193737,0.7583,3.06593E+11
21,2.48578E+12,1.4253E+12,15.14,relu,naive_uniform,5,133824472.9,1040580176,0.7593,2.18634E+11
22,1.94856E+12,1.10667E+12,14.49,relu,naive_uniform,5,104025204.6,839290405.3,0.7601,2.25453E+11
23,1.51143E+12,8.47705E+11,14.31,relu,naive_uniform,5,83075081.97,677585678,0.7616,1.67561E+11
24,1.1422E+12,6.31976E+11,13.82,relu,naive_uniform,5,71713529.95,573418037.9,0.7631,1.36047E+11
25,8.48326E+11,4.61153E+11,13.4,relu,naive_uniform,5,65025522.57,491317088.4,0.7644,72008246768
26,6.13846E+11,3.16615E+11,13.08,relu,naive_uniform,5,62877034.24,433461409.9,0.7655,55342881245
27,4.12518E+11,1.83663E+11,12.02,relu,naive_uniform,5,69678011.34,425916985,0.7678,39342058735
28,2.3021E+11,58384488333,10.61,relu,naive_uniform,5,89601760.88,495181221.5,0.7704,24623490510
29,95971972750,15118503898,9.93,relu,naive_uniform,5,115166700.9,615635220.8,0.7719,10662650465
30,40130885098,5898277367,9.78,relu,naive_uniform,5,135294920.8,719227986.7,0.7725,3774092884
31,20481873587,3150935883,9.95,relu,naive_uniform,5,149305830,791436957.4,0.7728,5805752387
32,13223362203,1952895890,9.99,relu,naive_uniform,5,160934087.1,853328278.3,0.773,3835392075
33,8510373871,1271559275,10.05,relu,naive_uniform,5,170211829.7,902769203.9,0.7731,3620635960
34,6073458276,789347433.3,10.08,relu,naive_uniform,5,187325184,993770742.9,0.7733,6214011365
35,4715443173,562477923.4,10.08,relu,naive_uniform,5,194226152,1030025218,0.7734,7555297415
36,3228787562,439517546.2,10.33,relu,naive_uniform,5,196208837.1,1040341005,0.7734,6409722425
37,2679123310,265694976,9.75,relu,naive_uniform,5,205290558.8,1087355291,0.7735,0.0048
38,2032253263,171357067.3,9.77,relu,naive_uniform,5,212443422.1,1125717801,0.7735,0.0046
39,1582007169,128425682.8,9.75,relu,naive_uniform,5,217988525.1,1156861155,0.7736,0.0045
40,1278193959,61476039.32,9.74,relu,naive_uniform,5,230537838,1224771098,0.7736,0.0044
41,1090676267,50656843.26,9.74,relu,naive_uniform,5,238186667.7,1265662422,0.7736,0.0044
42,824605857.2,32223461.75,9.65,relu,naive_uniform,5,252259694.3,1342623343,0.7736,0.0044
43,614090834.8,29954344.31,9.64,relu,naive_uniform,5,259587999.5,1381242499,0.7736,0.0044
44,561057555.3,24611044.78,9.64,relu,naive_uniform,5,266450581.7,1417631560,0.7736,0.0044
45,453960844.2,19929735.39,9.73,relu,naive_uniform,5,267835734.3,1424319404,0.7737,0.0044
46,363147386.4,17902748.89,9.98,relu,naive_uniform,5,269764233.1,1432720318,0.7737,0.0044
47,349251609.2,15093531.26,9.73,relu,naive_uniform,5,271177830.2,1440094236,0.7738,0.0044
48,307990793.5,12327232.76,9.73,relu,naive_uniform,5,273846801.6,1453669753,0.7738,0.0044
49,147567429.9,16128313.57,9.63,relu,naive_uniform,5,285077853.6,1515454300,0.7738,0.0044
50,118764974.5,11989680.76,9.63,relu,naive_uniform,5,295855285.4,1573356562,0.7737,0.0044
1,131.129,106.265,10.83,tanh,naive_uniform,5,0.0177,0.9858,0,937828.0133
2,120.3087,97.0842,10.47,tanh,naive_uniform,5,0.0192,0.9853,0,602251.7297
3,113.5868,88.6634,10.79,tanh,naive_uniform,5,0.0157,0.9845,0,810348.904
4,106.5446,79.9645,10.45,tanh,naive_uniform,5,0.0192,0.9833,0,554584.2549
5,100.3776,74.73,10.51,tanh,naive_uniform,5,0.0188,0.9826,0,451401.7002
6,95.0084,65.4317,10.48,tanh,naive_uniform,5,0.0275,0.9809,0,540730.2749
7,89.4608,59.738,10.59,tanh,naive_uniform,5,0.0413,0.9789,0,502378.3814
8,84.4495,51.7469,11.18,tanh,naive_uniform,5,0.0465,0.9767,0,331932.1971
9,80.8002,47.8576,10.58,tanh,naive_uniform,5,0.0524,0.9753,0,448289.738
10,77.8313,44.1305,11.07,tanh,naive_uniform,5,0.0461,0.9741,0,375540.9248
11,75.3306,38.272,10.99,tanh,naive_uniform,5,0.057,0.9718,0,355004.1922
12,72.3574,35.2387,10.89,tanh,naive_uniform,5,0.0627,0.9692,0,295728.5466
13,70.4332,31.3023,11.1,tanh,naive_uniform,5,0.0631,0.9676,0,343077.6509
14,69.0865,27.2528,11.17,tanh,naive_uniform,5,0.0699,0.9655,0,191281.8825
15,67.263,24.0508,11.54,tanh,naive_uniform,5,0.0724,0.9635,0,168648.1339
16,65.7682,21.3954,10.72,tanh,naive_uniform,5,0.0775,0.9616,0,146250.337
17,64.8449,19.5868,11.05,tanh,naive_uniform,5,0.0766,0.9593,0,106881.5036
18,63.7448,17.7942,11.04,tanh,naive_uniform,5,0.0741,0.9581,0,92182.672
19,63.67,15.8066,10.25,tanh,naive_uniform,5,0.0758,0.9565,0,139110.856
20,62.5723,14.3961,11.16,tanh,naive_uniform,5,0.0799,0.955,0,183342.422
21,62.4965,12.7799,11.07,tanh,naive_uniform,5,0.0813,0.9543,0,137533.7753
22,61.6474,12.2659,10.52,tanh,naive_uniform,5,0.0835,0.9529,0,80808.1081
23,61.1714,13.7336,10.64,tanh,naive_uniform,5,0.0843,0.9532,0,82025.8126
24,61.491,11.3275,10.57,tanh,naive_uniform,5,0.085,0.9521,0,89829.5372
25,60.8142,9.3003,10.75,tanh,naive_uniform,5,0.0876,0.9482,0,56521.6657
26,59.9236,10.6949,10.42,tanh,naive_uniform,5,0.0872,0.9497,0,56922.3387
27,59.3631,10.0841,10.35,tanh,naive_uniform,5,0.0921,0.9479,0,40075.2542
28,59.596,10.8081,9.48,tanh,naive_uniform,5,0.0979,0.9469,0,57389.8189
29,59.1475,9.6635,10.88,tanh,naive_uniform,5,0.0946,0.9476,0,19793.9982
30,58.8058,10.0679,11.43,tanh,naive_uniform,5,0.0898,0.9479,0,59264.0175
31,58.2846,9.4631,10.64,tanh,naive_uniform,5,0.0898,0.9467,0,74699.1312
32,58.5109,8.1261,9.32,tanh,naive_uniform,5,0.095,0.9435,0,36720.358
33,57.6421,8.8324,10.57,tanh,naive_uniform,5,0.0928,0.9424,0,24975.3536
34,58.0647,7.5395,10.73,tanh,naive_uniform,5,0.088,0.9429,0,32110.1151
35,57.2043,6.8243,10.21,tanh,naive_uniform,5,0.0946,0.9408,0,33560.6796
36,56.954,7.0749,9.58,tanh,naive_uniform,5,0.0915,0.9403,0,15504.1883
37,56.2464,5.8784,9.77,tanh,naive_uniform,5,0.091,0.9361,0,19138.3154
38,56.4884,6.0561,9.82,tanh,naive_uniform,5,0.0891,0.9356,0,51936.559
39,56.0496,6.4561,10.6,tanh,naive_uniform,5,0.0907,0.9332,0,32607.3758
40,55.5034,5.423,9.38,tanh,naive_uniform,5,0.0905,0.9325,0,13776.3442
41,55.3198,7.1754,9.64,tanh,naive_uniform,5,0.0894,0.9314,0,5747.3828
42,55.3184,5.7189,9.69,tanh,naive_uniform,5,0.087,0.9301,0,12560.9331
43,54.9195,5.255,9.91,tanh,naive_uniform,5,0.0854,0.9312,0,9368.6968
44,54.8477,7.4212,10.41,tanh,naive_uniform,5,0.0903,0.9298,0,25531.764
45,54.4062,5.2528,10.55,tanh,naive_uniform,5,0.0917,0.9276,0,24746.4165
46,54.1778,4.7386,10.08,tanh,naive_uniform,5,0.0929,0.9268,0,10540.0214
47,53.7406,4.8937,9.87,tanh,naive_uniform,5,0.0901,0.926,0,8802.5094
48,53.6558,7.4772,10.78,tanh,naive_uniform,5,0.092,0.9263,0,17438.4044
49,53.2249,4.2107,9.66,tanh,naive_uniform,5,0.0938,0.9249,0,8925.6717
50,53.1505,5.0001,10.54,tanh,naive_uniform,5,0.0948,0.9258,0,23057.458
